dataset,year,variable,label
PSID Individual Data by Years,1969,NA,NO EDUC VAR
PSID Individual Data by Years,1970,ER30052,GRADE FINISHED 70
PSID Individual Data by Years,1971,ER30076,GRADE FINISHED 71
PSID Individual Data by Years,1972,ER30100,GRADE FINISHED 72
PSID Individual Data by Years,1973,ER30126,GRADE FINISHED 73
PSID Individual Data by Years,1974,ER30147,HIGHEST GRADE 74
PSID Individual Data by Years,1975,ER30169,HIGHEST GRAD FINISHED 75
PSID Individual Data by Years,1976,ER30197,HIGHEST GRADE FINISH 76
PSID Individual Data by Years,1977,ER30226,HIGHEST GRADE FINISH 77
PSID Individual Data by Years,1978,ER30255,HIGHEST GRADE FINISH 78
PSID Individual Data by Years,1979,ER30296,K49 EDUCATION 79
PSID Individual Data by Years,1980,ER30326,EDUCATION ATTAINED 80
PSID Individual Data by Years,1981,ER30356,COMPLETED EDUC 81
PSID Individual Data by Years,1982,ER30384,COMPLETED EDUCATION 82
PSID Individual Data by Years,1983,ER30413,COMPLETED EDUCATION 83
PSID Individual Data by Years,1984,ER30443,COMPLETED EDUC 84
PSID Individual Data by Years,1985,ER30478,COMPLETED EDUCATION 85
PSID Individual Data by Years,1986,ER30513,COMPLETED EDUCATION 86
PSID Individual Data by Years,1987,ER30549,COMPLETED EDUCATION 87
PSID Individual Data by Years,1988,ER30584,COMPLETED EDUC-IND 88
PSID Individual Data by Years,1989,ER30620,COMPLETED EDUC-IND 89
PSID Individual Data by Years,1990,ER30657,COMPLETED EDUC-IND 90
PSID Individual Data by Years,1991,ER30703,COMPLETED EDUC-IND 91
PSID Individual Data by Years,1992,ER30748,COMPLETED EDUCATION 92
PSID Individual Data by Years,1993,ER30820,YRS COMPLETED EDUCATION 93
PSID Individual Data by Years,1994,ER33115,YRS COMPLETED EDUC 94
PSID Individual Data by Years,1995,ER33215,YEARS COMPLETED EDUCATION 95
PSID Individual Data by Years,1996,ER33315,YEARS COMPLETED EDUCATION 96
PSID Individual Data by Years,1997,ER33415,YEARS COMPLETED EDUCATION 97
PSID Individual Data by Years,1999,ER33516,YEARS COMPLETED EDUCATION 99
PSID Individual Data by Years,2001,ER33616,YEARS COMPLETED EDUCATION 01
PSID Individual Data by Years,2003,ER33716,YEARS COMPLETED EDUCATION 03
PSID Individual Data by Years,2005,ER33817,YEARS COMPLETED EDUCATION 05
PSID Individual Data by Years,2007,ER33917,YEARS COMPLETED EDUCATION 07
PSID Individual Data by Years,2009,ER34020,YEARS COMPLETED EDUCATION 09
PSID Individual Data by Years,2011,ER34119,YEARS COMPLETED EDUCATION 11
PSID Individual Data by Years,2013,ER34230,YEARS COMPLETED EDUCATION 13
PSID Individual Data by Years,1968,NA,INDIVIDUAL WEIGHT 68
PSID Individual Data by Years,1969,ER30042,INDIVIDUAL WEIGHT 69
PSID Individual Data by Years,1970,ER30066,INDIVIDUAL WEIGHT 70
PSID Individual Data by Years,1971,ER30090,INDIVIDUAL WEIGHT 71
PSID Individual Data by Years,1972,ER30116,INDIVIDUAL WEIGHT 72
PSID Individual Data by Years,1973,ER30137,INDIVIDUAL WEIGHT 73
PSID Individual Data by Years,1974,ER30159,INDIVIDUAL WEIGHT 74
PSID Individual Data by Years,1975,ER30187,INDIVIDUAL WEIGHT 75
PSID Individual Data by Years,1976,ER30216,INDIVIDUAL WEIGHT 76
PSID Individual Data by Years,1977,ER30245,INDIVIDUAL WEIGHT 77
PSID Individual Data by Years,1978,ER30282,INDIVIDUAL WEIGHT 78
PSID Individual Data by Years,1979,ER30312,INDIVIDUAL WEIGHT 79
PSID Individual Data by Years,1980,ER30342,INDIVIDUAL WEIGHT 80
PSID Individual Data by Years,1981,ER30372,INDIVIDUAL WEIGHT 81
PSID Individual Data by Years,1982,ER30398,INDIVIDUAL WEIGHT 82
PSID Individual Data by Years,1983,ER30428,INDIVIDUAL WEIGHT 83
PSID Individual Data by Years,1984,ER30462,INDIVIDUAL WEIGHT 84
PSID Individual Data by Years,1985,ER30497,INDIVIDUAL WEIGHT 85
PSID Individual Data by Years,1986,ER30534,INDIVIDUAL WEIGHT 86
PSID Individual Data by Years,1987,ER30569,INDIVIDUAL WEIGHT 87
PSID Individual Data by Years,1988,ER30605,INDIVIDUAL WEIGHT 88
PSID Individual Data by Years,1989,ER30641,INDIVIDUAL WEIGHT 89
PSID Individual Data by Years,1990,ER30686,CORE IND WEIGHT 90
PSID Individual Data by Years,1991,ER30730,CORE IND WEIGHT 91
PSID Individual Data by Years,1992,ER30803,CORE IND WEIGHT 92
PSID Individual Data by Years,1993,ER30864,CORE INDIVIDUAL LONGITUDINAL WEIGHT 93
PSID Individual Data by Years,1994,ER33119,CORE INDIVIDUAL LONGITUDINAL WEIGHT 94
PSID Individual Data by Years,1995,ER33275,CORE INDIVIDUAL LONGITUDINAL WEIGHT 95
PSID Individual Data by Years,1996,ER33318,CORE INDIVIDUAL LONGITUDINAL WEIGHT 96
PSID Individual Data by Years,1997,ER33430,CORE/IMM INDIVIDUAL LONGITUDINAL WT 97
PSID Individual Data by Years,1999,ER33546,CORE/IMM INDIVIDUAL LONGITUDINAL WT 99
PSID Individual Data by Years,2001,ER33637,CORE/IMM INDIVIDUAL LONGITUDINAL WT 01
PSID Individual Data by Years,2003,ER33740,CORE/IMM INDIVIDUAL LONGITUDINAL WT 03
PSID Individual Data by Years,2005,ER33848,CORE/IMM INDIVIDUAL LONGITUDINAL WT 05
PSID Individual Data by Years,2007,ER33950,CORE/IMM INDIVIDUAL LONGITUDINAL WT 07
PSID Individual Data by Years,2009,ER34045,CORE/IMM INDIVIDUAL LONGITUDINAL WT 09
PSID Individual Data by Years,2011,ER34154,CORE/IMM INDIVIDUAL LONGITUDINAL WT 11
PSID Individual Data by Years,2013,ER34268,CORE/IMM INDIVIDUAL LONGITUDINAL WT 13
